epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2345.51,1.65772,1.86499,0.02261,0.42151,0.56766,0.44479,0.22269,1.46061,1.80692,0.02931,0.007921,0.007921,0.007921
44,2400.51,1.67162,1.8975,0.02234,0.58188,0.68605,0.61465,0.34617,1.43494,1.46947,0.02816,0.0078715,0.0078715,0.0078715
45,2456.08,1.65352,1.8923,0.02166,0.6292,0.5,0.57365,0.30592,1.56567,1.62815,0.03353,0.007822,0.007822,0.007822
46,2511.02,1.64097,1.85123,0.02215,0.51993,0.5961,0.54125,0.30365,1.46785,1.76914,0.03023,0.0077725,0.0077725,0.0077725
47,2565.89,1.65973,1.77469,0.02187,0.4818,0.59302,0.50833,0.27192,1.46669,1.75405,0.0299,0.007723,0.007723,0.007723
48,2620.8,1.6505,1.84586,0.02158,0.53166,0.594,0.59238,0.33329,1.46531,1.70439,0.03167,0.0076735,0.0076735,0.0076735
49,2675.71,1.60977,1.81664,0.02195,0.61879,0.68605,0.70042,0.42545,1.39179,1.54957,0.02744,0.007624,0.007624,0.007624
50,2730.99,1.6158,1.78939,0.02203,0.62218,0.7085,0.67104,0.36108,1.46721,1.65984,0.0294,0.0075745,0.0075745,0.0075745
51,2786.35,1.61837,1.70546,0.02121,0.60317,0.68217,0.69865,0.3975,1.5252,1.42376,0.03199,0.007525,0.007525,0.007525
52,2841.14,1.66739,1.69823,0.02223,0.68689,0.56977,0.66817,0.38428,1.51731,1.39215,0.03068,0.0074755,0.0074755,0.0074755
53,2896.87,1.63282,1.67902,0.02117,0.72703,0.70543,0.75261,0.42587,1.46647,1.57339,0.03032,0.007426,0.007426,0.007426
54,2951.83,1.6279,1.69395,0.0215,0.68623,0.77907,0.78423,0.4162,1.55646,1.25604,0.03515,0.0073765,0.0073765,0.0073765
55,3006.85,1.62444,1.61246,0.02162,0.58118,0.71705,0.7145,0.37056,1.65285,1.27342,0.03216,0.007327,0.007327,0.007327
56,3061.81,1.63057,1.64255,0.02087,0.64637,0.74419,0.7733,0.42319,1.49426,1.18737,0.02902,0.0072775,0.0072775,0.0072775
57,3116.9,1.61176,1.5533,0.02085,0.7061,0.70771,0.77427,0.45479,1.43015,1.26879,0.02878,0.007228,0.007228,0.007228
58,3171.87,1.59325,1.52291,0.02079,0.68082,0.78542,0.77818,0.44615,1.53111,1.10695,0.02811,0.0071785,0.0071785,0.0071785
59,3226.8,1.58984,1.46848,0.01998,0.77423,0.71705,0.78728,0.45343,1.45704,1.22664,0.0292,0.007129,0.007129,0.007129
60,3282.05,1.57335,1.40837,0.01975,0.65592,0.78321,0.77498,0.44101,1.50416,1.17069,0.03348,0.0070795,0.0070795,0.0070795
61,3337.1,1.57707,1.39267,0.0204,0.71279,0.71318,0.76607,0.46177,1.38055,1.15629,0.02778,0.00703,0.00703,0.00703
62,3392.21,1.54878,1.34179,0.01954,0.78116,0.65891,0.77995,0.47652,1.36732,1.16507,0.027,0.0069805,0.0069805,0.0069805
63,3447.49,1.57146,1.24585,0.01968,0.74916,0.78717,0.83627,0.48658,1.44253,1.02303,0.02921,0.006931,0.006931,0.006931
64,3502.95,1.57708,1.21041,0.01921,0.74952,0.83506,0.85693,0.51364,1.40033,0.92475,0.02689,0.0068815,0.0068815,0.0068815
65,3558.06,1.54492,1.15672,0.0197,0.74988,0.82504,0.86716,0.51268,1.43117,0.88195,0.02837,0.006832,0.006832,0.006832
66,3613.43,1.57047,1.11219,0.0191,0.7863,0.81783,0.87355,0.49134,1.45946,0.91215,0.02851,0.0067825,0.0067825,0.0067825
67,3668.57,1.53706,1.04781,0.01847,0.7686,0.81783,0.8467,0.52651,1.35622,0.82693,0.02551,0.006733,0.006733,0.006733
68,3723.95,1.56574,0.9738,0.01875,0.73892,0.82946,0.83343,0.50258,1.36243,0.82776,0.02578,0.0066835,0.0066835,0.0066835
69,3778.83,1.53898,0.95611,0.01845,0.76882,0.76052,0.85335,0.53436,1.37753,0.82483,0.02714,0.006634,0.006634,0.006634
70,3833.85,1.55705,0.9024,0.01807,0.82437,0.81395,0.88765,0.55145,1.27522,0.84496,0.02356,0.0065845,0.0065845,0.0065845
71,3889.12,1.49439,0.94093,0.0175,0.82926,0.76744,0.87095,0.52471,1.42159,0.82859,0.02637,0.006535,0.006535,0.006535
72,3944.22,1.50606,0.88925,0.01759,0.78767,0.81008,0.87189,0.53907,1.34217,0.76021,0.02369,0.0064855,0.0064855,0.0064855
73,3999.46,1.52665,0.87903,0.0177,0.8361,0.83046,0.89288,0.57144,1.30134,0.7882,0.02325,0.006436,0.006436,0.006436
74,4054.41,1.48409,0.85155,0.01696,0.78223,0.83333,0.8599,0.56561,1.2664,0.76354,0.02235,0.0063865,0.0063865,0.0063865
75,4109.93,1.49878,0.81369,0.01747,0.86413,0.78295,0.88899,0.59218,1.25516,0.72652,0.02293,0.006337,0.006337,0.006337
76,4165.1,1.46115,0.8275,0.01619,0.79143,0.83834,0.8725,0.56463,1.28002,0.75373,0.02363,0.0062875,0.0062875,0.0062875
77,4220.94,1.43553,0.78604,0.01574,0.85286,0.85369,0.88885,0.56453,1.35649,0.6854,0.02529,0.006238,0.006238,0.006238
78,4276.49,1.46746,0.7862,0.01654,0.81487,0.82171,0.8757,0.58783,1.25241,0.74771,0.02236,0.0061885,0.0061885,0.0061885
79,4331.9,1.42973,0.79174,0.01605,0.79522,0.83721,0.88027,0.57275,1.29757,0.69149,0.0227,0.006139,0.006139,0.006139
80,4387.1,1.41295,0.76413,0.01541,0.76879,0.81783,0.86498,0.56393,1.27789,0.70808,0.0235,0.0060895,0.0060895,0.0060895
81,4442.48,1.41274,0.74535,0.01533,0.85992,0.80898,0.89793,0.60009,1.27589,0.64742,0.02281,0.00604,0.00604,0.00604
82,4497.49,1.3904,0.76217,0.0154,0.8393,0.85023,0.90768,0.60257,1.24962,0.6323,0.02153,0.0059905,0.0059905,0.0059905
83,4552.79,1.38962,0.69693,0.01523,0.82943,0.88372,0.91154,0.60853,1.22635,0.59507,0.01949,0.005941,0.005941,0.005941
84,4608.13,1.37395,0.70776,0.01486,0.85376,0.84109,0.91118,0.61065,1.20914,0.67043,0.01932,0.0058915,0.0058915,0.0058915
85,4663.55,1.38083,0.708,0.01465,0.82256,0.88044,0.91813,0.62003,1.23298,0.58229,0.01958,0.005842,0.005842,0.005842
86,4718.56,1.35193,0.66694,0.01412,0.90057,0.86047,0.9271,0.64255,1.17089,0.55614,0.01896,0.0057925,0.0057925,0.0057925
87,4773.6,1.34648,0.67899,0.01425,0.81663,0.8458,0.90135,0.62733,1.15655,0.6107,0.01884,0.005743,0.005743,0.005743
88,4828.52,1.35061,0.66,0.01417,0.83223,0.88372,0.9064,0.5986,1.23576,0.59715,0.01887,0.0056935,0.0056935,0.0056935
89,4883.63,1.34464,0.65604,0.01419,0.88334,0.88047,0.9232,0.62619,1.20075,0.58006,0.01886,0.005644,0.005644,0.005644
90,4938.52,1.31834,0.65903,0.01353,0.85398,0.88408,0.92579,0.63846,1.17266,0.55672,0.01908,0.0055945,0.0055945,0.0055945
91,4995.37,1.32437,0.65575,0.01339,0.88709,0.88313,0.93118,0.63168,1.16781,0.54553,0.01859,0.005545,0.005545,0.005545
92,5052.19,1.3246,0.63778,0.01331,0.90776,0.86047,0.92371,0.62532,1.23379,0.53713,0.02031,0.0054955,0.0054955,0.0054955
93,5107.42,1.30254,0.6229,0.01334,0.85115,0.88651,0.92242,0.62777,1.20867,0.56329,0.01877,0.005446,0.005446,0.005446
94,5162.48,1.28532,0.61591,0.01296,0.87044,0.88535,0.9233,0.64964,1.12096,0.50164,0.01678,0.0053965,0.0053965,0.0053965
95,5217.46,1.28405,0.59892,0.01275,0.85532,0.86822,0.92195,0.60663,1.21785,0.57464,0.01944,0.005347,0.005347,0.005347
96,5273.25,1.29985,0.59665,0.01255,0.85424,0.88588,0.9293,0.64994,1.167,0.52286,0.01829,0.0052975,0.0052975,0.0052975
97,5328.2,1.281,0.62404,0.01306,0.86404,0.89922,0.92916,0.64427,1.12669,0.53696,0.017,0.005248,0.005248,0.005248
98,5383.1,1.28659,0.60595,0.01285,0.92811,0.87984,0.9362,0.63042,1.23436,0.55413,0.02155,0.0051985,0.0051985,0.0051985
99,5438.16,1.27899,0.6187,0.01255,0.8348,0.901,0.9228,0.63625,1.16667,0.54563,0.01778,0.005149,0.005149,0.005149
100,5493.35,1.28101,0.5945,0.01221,0.89033,0.88106,0.93017,0.60388,1.29918,0.52855,0.02148,0.0050995,0.0050995,0.0050995
101,5549.01,1.28215,0.61575,0.01225,0.85955,0.90141,0.92064,0.64857,1.14421,0.52765,0.01791,0.00505,0.00505,0.00505
102,5604.25,1.26105,0.58967,0.01251,0.87651,0.88039,0.93012,0.637,1.16365,0.49616,0.01741,0.0050005,0.0050005,0.0050005
103,5659.19,1.28745,0.61009,0.01281,0.90008,0.87283,0.93576,0.64693,1.14792,0.48843,0.01884,0.004951,0.004951,0.004951
104,5715.55,1.26885,0.58325,0.01273,0.90415,0.91401,0.94037,0.63965,1.20736,0.50802,0.01945,0.0049015,0.0049015,0.0049015
105,5770.66,1.23921,0.54864,0.01243,0.8878,0.88937,0.94058,0.65899,1.09733,0.48778,0.01561,0.004852,0.004852,0.004852
106,5825.96,1.2607,0.57956,0.01234,0.9103,0.88372,0.94338,0.65743,1.13222,0.47786,0.01642,0.0048025,0.0048025,0.0048025
107,5880.96,1.26732,0.57114,0.01206,0.87039,0.9031,0.9323,0.66465,1.11032,0.50029,0.01664,0.004753,0.004753,0.004753
108,5936.34,1.24514,0.55851,0.01221,0.92591,0.87194,0.93937,0.64248,1.18752,0.49042,0.01828,0.0047035,0.0047035,0.0047035
109,5991.53,1.24076,0.5628,0.01212,0.8828,0.87588,0.93362,0.65893,1.13355,0.48361,0.01766,0.004654,0.004654,0.004654
110,6046.63,1.24013,0.55035,0.01174,0.85655,0.89147,0.92538,0.62397,1.18477,0.53565,0.01763,0.0046045,0.0046045,0.0046045
111,6103.56,1.22492,0.56097,0.0116,0.90908,0.8914,0.93947,0.65967,1.13872,0.46621,0.01816,0.004555,0.004555,0.004555
112,6158.83,1.21853,0.54325,0.01138,0.88817,0.83119,0.92095,0.62389,1.17898,0.54538,0.0166,0.0045055,0.0045055,0.0045055
113,6214.96,1.23287,0.56366,0.01133,0.86939,0.9031,0.93068,0.64438,1.14181,0.54023,0.01657,0.004456,0.004456,0.004456
114,6270.96,1.21615,0.54521,0.01134,0.88638,0.87686,0.93529,0.647,1.18372,0.49795,0.01799,0.0044065,0.0044065,0.0044065
115,6326.79,1.20385,0.55156,0.01151,0.95275,0.85971,0.94278,0.65718,1.15476,0.46494,0.01803,0.004357,0.004357,0.004357
116,6383.53,1.21186,0.54134,0.01098,0.89679,0.89535,0.93917,0.66321,1.09751,0.44333,0.01656,0.0043075,0.0043075,0.0043075
117,6439.04,1.19595,0.55139,0.01104,0.89925,0.90698,0.94203,0.64657,1.14148,0.4711,0.01725,0.004258,0.004258,0.004258
118,6494.53,1.18713,0.52049,0.01097,0.9324,0.91473,0.94926,0.67875,1.10238,0.42489,0.01665,0.0042085,0.0042085,0.0042085
119,6550.12,1.21239,0.54591,0.01185,0.96273,0.90698,0.95028,0.67244,1.12433,0.43727,0.01689,0.004159,0.004159,0.004159
120,6605.43,1.18996,0.52205,0.01096,0.94646,0.89535,0.95024,0.67645,1.11663,0.44601,0.01613,0.0041095,0.0041095,0.0041095
121,6660.92,1.19104,0.53913,0.01109,0.90687,0.90698,0.94639,0.66347,1.16827,0.46391,0.01844,0.00406,0.00406,0.00406
122,6716.74,1.19942,0.52468,0.01104,0.93114,0.8876,0.94508,0.66833,1.11376,0.43185,0.01679,0.0040105,0.0040105,0.0040105
123,6773.52,1.19609,0.51272,0.01075,0.94163,0.91473,0.95416,0.68091,1.12679,0.42042,0.01733,0.003961,0.003961,0.003961
124,6831.74,1.18071,0.529,0.01052,0.92927,0.91085,0.9489,0.66643,1.13056,0.40114,0.01739,0.0039115,0.0039115,0.0039115
125,6887.58,1.18629,0.49793,0.01117,0.92952,0.86903,0.94625,0.65757,1.15554,0.44967,0.01847,0.003862,0.003862,0.003862
126,6947.4,1.21097,0.52536,0.01116,0.93878,0.89149,0.9469,0.67099,1.11016,0.45092,0.01661,0.0038125,0.0038125,0.0038125
127,7003.05,1.18815,0.505,0.01075,0.94477,0.92248,0.9531,0.67452,1.11644,0.40152,0.01634,0.003763,0.003763,0.003763
128,7059.58,1.17439,0.50111,0.01088,0.93489,0.9186,0.95351,0.67546,1.11575,0.41425,0.01629,0.0037135,0.0037135,0.0037135
129,7115.43,1.16842,0.51702,0.01078,0.92292,0.88177,0.94584,0.66728,1.11414,0.44462,0.01613,0.003664,0.003664,0.003664
130,7171.77,1.16804,0.48043,0.01019,0.93865,0.92248,0.9535,0.65318,1.18119,0.42037,0.0165,0.0036145,0.0036145,0.0036145
131,7227.25,1.15887,0.48996,0.01008,0.9154,0.92272,0.94646,0.67115,1.10464,0.43876,0.01571,0.003565,0.003565,0.003565
132,7282.81,1.1614,0.51066,0.01048,0.96348,0.86434,0.94857,0.66693,1.13924,0.42733,0.01707,0.0035155,0.0035155,0.0035155
133,7337.93,1.17729,0.50406,0.01027,0.92444,0.91085,0.94735,0.67916,1.08274,0.42022,0.01519,0.003466,0.003466,0.003466
134,7393,1.1633,0.49941,0.01054,0.90982,0.91085,0.94778,0.6792,1.0732,0.44324,0.01532,0.0034165,0.0034165,0.0034165
135,7448.09,1.1836,0.50177,0.01049,0.92584,0.82259,0.92671,0.64176,1.17403,0.54791,0.01819,0.003367,0.003367,0.003367
136,7503.85,1.16527,0.49312,0.01022,0.87426,0.88936,0.92968,0.64229,1.12915,0.50785,0.01552,0.0033175,0.0033175,0.0033175
137,7558.97,1.15161,0.5031,0.00979,0.87058,0.88651,0.93106,0.6711,1.06053,0.49196,0.01492,0.003268,0.003268,0.003268
138,7614.29,1.17107,0.49529,0.01005,0.93229,0.90719,0.9511,0.69613,1.05292,0.40038,0.01482,0.0032185,0.0032185,0.0032185
139,7669.51,1.16776,0.49891,0.01021,0.95115,0.92636,0.95567,0.6954,1.09105,0.36906,0.01616,0.003169,0.003169,0.003169
140,7724.81,1.16947,0.50391,0.01053,0.93039,0.88372,0.946,0.67132,1.12791,0.43809,0.01739,0.0031195,0.0031195,0.0031195
141,7779.98,1.16723,0.49281,0.011,0.92435,0.87984,0.94423,0.65359,1.12776,0.46496,0.01721,0.00307,0.00307,0.00307
142,7835.35,1.16133,0.49851,0.01045,0.94712,0.90249,0.95127,0.68923,1.08048,0.40209,0.01553,0.0030205,0.0030205,0.0030205
143,7890.57,1.14198,0.49434,0.00996,0.90765,0.91424,0.94313,0.6699,1.09947,0.45241,0.01531,0.002971,0.002971,0.002971
144,7945.85,1.13353,0.47015,0.00995,0.91384,0.91085,0.94708,0.68876,1.05016,0.4211,0.01467,0.0029215,0.0029215,0.0029215
145,8001.15,1.1224,0.47886,0.00954,0.91707,0.90009,0.94621,0.67994,1.07611,0.42459,0.01507,0.002872,0.002872,0.002872
146,8056.14,1.12602,0.493,0.00986,0.91549,0.89535,0.94617,0.6742,1.09944,0.42756,0.01532,0.0028225,0.0028225,0.0028225
147,8111.19,1.13579,0.48368,0.00973,0.93961,0.8876,0.94436,0.67982,1.06501,0.43866,0.01511,0.002773,0.002773,0.002773
148,8166.3,1.14062,0.46703,0.00954,0.93622,0.9186,0.95288,0.685,1.10548,0.39609,0.01662,0.0027235,0.0027235,0.0027235
149,8221.38,1.12584,0.47447,0.00941,0.89932,0.92636,0.94913,0.69134,1.06683,0.41526,0.01561,0.002674,0.002674,0.002674
150,8278.13,1.12311,0.47673,0.0093,0.92887,0.91105,0.94633,0.68692,1.07637,0.42234,0.01513,0.0026245,0.0026245,0.0026245
151,8333.15,1.12582,0.48499,0.00962,0.87486,0.92128,0.94245,0.67512,1.07599,0.44643,0.0141,0.002575,0.002575,0.002575
152,8388.61,1.14734,0.47963,0.01008,0.95053,0.91473,0.95344,0.68618,1.0778,0.40596,0.01481,0.0025255,0.0025255,0.0025255
153,8444.04,1.10481,0.45701,0.00956,0.92573,0.92636,0.95113,0.67012,1.1175,0.41111,0.01501,0.002476,0.002476,0.002476
154,8499.51,1.105,0.46684,0.00964,0.9187,0.87209,0.93969,0.66801,1.09977,0.46219,0.01464,0.0024265,0.0024265,0.0024265
155,8554.47,1.10997,0.48396,0.00937,0.86928,0.90698,0.94122,0.66321,1.10047,0.46479,0.01478,0.002377,0.002377,0.002377
156,8609.72,1.12684,0.47352,0.00972,0.93298,0.91724,0.95352,0.69114,1.05778,0.39675,0.01509,0.0023275,0.0023275,0.0023275
157,8664.8,1.09832,0.45222,0.00903,0.97483,0.90063,0.95321,0.69677,1.06579,0.40148,0.01474,0.002278,0.002278,0.002278
